principio_activo,unidad_de_dispensacion,concentracion,unidad_base,nombre_comercial,fabricante,precio_por_tableta,factoresprecio
Midazolam,Ampolla,Midazolam 15 mg,ml,Dormicum,Siegfried,11199.8,Alto
Acido Valproico,Tableta,Divalproato Sodico 500 mg,mg,Valcote,Lafrancol,3752.866667,Medio
Acido Valproico,Tableta,Divalproato Sodico 500 mg,mg,Valcote,Lafrancol,1777.266522,Medio
Fluoxetina,Capsula,Fluoxetina 20 mg,mg,Fluoxetina,Genfar,329.295281,Medio
Alopurinol,Tableta,Alopurinol 300 mg,mg,Alopurinol,Memphis,365.3996782,Bajo
Haloperidol,Tableta,Haloperidol 10 mg,mg,Haloperidol,Memphis,544.4616667,Alto
Acido Fusidico,Tubo,Acido Fusidico 2 g,g,Acido Fusidico,Genfar,8265.201363,Medio
Acido Fusidico,Tubo,Acido Fusidico 2 g,g,Acido Fusidico,Genfar,4295.640445,Bajo
Ketoprofeno,Tubo,"Ketoprofeno 2,5 g",g,Ketoprofeno,Genfar,20842.3795,Medio
Ketoprofeno,Tubo,"Ketoprofeno 2,5 g",g,Ketoprofeno,Genfar,3852.802066,Bajo
Azitromicina,Tableta,Azitromicina 500 mg,mg,Azitromicina,Genfar,2460.764272,Medio
Azitromicina,Tableta,Azitromicina 500 mg,mg,Azitromicina,Genfar,707.1738267,Medio
Azitromicina,Frasco,Azitromicina 200 mg,ml,Azitromicina,Genfar,11438.59333,Bajo
Azitromicina,Frasco,Azitromicina 200 mg,ml,Azitromicina,Genfar,4489.110307,Bajo
Cetirizina,Tableta,Cetirizina 10 mg,mg,Alerviden,Biochem,1988.48362,Alto
Tiopental,Vial,Tiopental 1 g,g,Tiopental,Feparvi,570.6666667,Medio
Tiopental,Vial,Tiopental 1 g,g,Tiopental,Feparvi,507.0588235,Medio
Pancuronio,Ampolla,Pancuronio 4 mg,ml,Bromuro De Pancuronio,Feparvi,450.0,Medio
Pancuronio,Ampolla,Pancuronio 4 mg,ml,Bromuro De Pancuronio,Feparvi,522.7272727,Medio
Salbutamol,Frasco,Salbutamol 40 mg,ml,Salbutamol,Memphis,3583.835714,Medio
Hierro Sacarosa,Ampolla,Hierro Sacarosa 100 mg,ml,Venofer,Vifor,19577.77617,Alto
Medroxiprogesterona Y Estradiol,Ampolla,Estradiol 5 mg + Acetato De Medroxiprogesterona 25 mg,ml,Cyclofem,Profamilia,233.5242105,Medio
Alprazolam,Tableta,"Alprazolam 0,25 mg",mg,Xanax,Pfizer,1716.0,Medio
Alprazolam,Tableta,"Alprazolam 0,25 mg",mg,Xanax,Pfizer,1066.48318,Medio
Claritromicina,Tableta,Claritromicina 500 mg,mg,Claritromicina,La Sante,3112.160831,Medio
Cetirizina,Capsula,Cetirizina 10 mg,mg,Alercet,Procaps,6719.61823,Alto
Cetirizina,Capsula,Cetirizina 10 mg,mg,Alercet,Procaps,728.6493655,Medio
Trimebutina,Tableta,Trimebutina 200 mg,mg,Trimebutina,Colmed,506.4018161,Medio
Trimebutina,Tableta,Trimebutina 200 mg,mg,Trimebutina,Colmed,470.0,Medio
Deferoxamina,Vial,Deferoxamina 500 mg,mg,Desferal,Novartis,19905.0,Medio
Omeprazol,Capsula,Omeprazol 20 mg,mg,Omeprazol,Genfar,229.5269746,Medio
Omeprazol,Capsula,Omeprazol 20 mg,mg,Omeprazol,Genfar,99.96243386,Medio
Ambroxol,Frasco,Ambroxol 15 mg,ml,Ambroxol,Tecnofar,7221.086218,Medio
Ambroxol,Frasco,Ambroxol 15 mg,ml,Ambroxol,Tecnofar,3443.217391,Medio
Clindamicina,Capsula,Clindamicina 300 mg,mg,Clindamicina,La Sante,1955.878578,Alto
Clindamicina,Capsula,Clindamicina 300 mg,mg,Clindamicina,La Sante,527.1507761,Medio
Cetirizina,Tableta,Cetirizina 10 mg,mg,Cetirizina,La Sante,476.1756318,Medio
Trazodona,Tableta,Trazodona 50 mg,mg,Trazodona,Winthrop,1030.9315,Medio
Trazodona,Tableta,Trazodona 50 mg,mg,Trazodona,Winthrop,66.08738859,Bajo
Amitriptilina,Tableta,Amitriptilina 25 mg,mg,Amitriptilina,Genfar,303.4302814,Medio
Naproxeno,Tableta,Naproxeno 250 mg,mg,Naproxeno,Genfar,390.2350859,Medio
Naproxeno,Tableta,Naproxeno 250 mg,mg,Naproxeno,Genfar,66.81764567,Bajo
Tramadol,Capsula,Tramadol 50 mg,mg,Tramal,Grunenthal,4386.331034,Alto
Tramadol,Capsula,Tramadol 50 mg,mg,Tramal,Grunenthal,2422.698077,Alto
Tramadol,Ampolla,Tramadol 100 mg,ml,Tramal,Grunenthal,13511.43636,Alto
Tramadol,Ampolla,Tramadol 100 mg,ml,Tramal,Grunenthal,6952.787879,Alto
Tramadol,Ampolla,Tramadol 50 mg,ml,Tramal,Grunenthal,7238.761431,Medio
Tramadol,Ampolla,Tramadol 50 mg,ml,Tramal,Grunenthal,3501.544218,Alto
Tramadol,Frasco,Tramadol 100 mg,ml,Tramal,Grunenthal,7988.248503,Alto
Mentol + Alcanfor + Salicilato De Metilo,Frasco,Mentol 4 g + Salicilato De Metilo 14 g + Alcanfor 3 g,g,Ungüento Mentol No. 2,Tecnofar,24051.28146,Alto
Mentol + Alcanfor + Salicilato De Metilo,Frasco,Mentol 4 g + Salicilato De Metilo 14 g + Alcanfor 3 g,g,Ungüento Mentol No. 2,Tecnofar,6630.531698,Bajo
Mentol + Alcanfor + Salicilato De Metilo,Frasco,Mentol 4 g + Salicilato De Metilo 14 g + Alcanfor 3 g,g,Ungüento Mentol No. 2,Tecnofar,9956.627092,Medio
Acetaminofen + Clorfeniramina + Fenilefrina,Sobre,Acetaminofen 500 mg + Maleato De Clorfeniramina 2 mg + Fenilefrina 10 mg,g,Pax Caliente Noche,Sanofi Aventis,1815.0,Medio
Algestona Y Estradiol,Ampolla,Estradiol 10 mg + Algestona Acetofenido 150 mg,mg,Synovular,Lafrancol,20167.07437,Medio
Metoclopramida,Tableta,Metoclopramida 10 mg,mg,Metoclopramida,Pentacoop,117.1963225,Medio
Ibuprofeno,Tableta,Ibuprofeno 800 mg,mg,Ibuprofeno,Genfar,238.3034485,Medio
Ibuprofeno,Tableta,Ibuprofeno 800 mg,mg,Ibuprofeno,Genfar,124.4648764,Bajo
Tinidazol,Tableta,Tinidazol 500 mg,mg,Tinidazol,Tecnoquimicas,541.2747873,Alto
Tinidazol,Tableta,Tinidazol 500 mg,mg,Tinidazol,Tecnoquimicas,278.4006515,Alto
Sulfametoxazol Y Trimetoprim,Frasco,Sulfametoxazol 4000 mg + Trimetoprim 800 mg,ml,Trimetoprim,Genfar,6758.429003,Alto
Cetirizina,Frasco,Cetirizina 1 mg,ml,Alerviden,Biochem,13929.83041,Medio
Claritromicina,Frasco,Claritromicina 250 mg,g,Claritromicina,La Sante,12971.05162,Bajo
Budesonida,Ampolla,"Budesonida 0,5 mg",ml,Pulmicort,Astrazeneca,10912.2,Medio
Budesonida,Ampolla,"Budesonida 0,5 mg",ml,Pulmicort,Astrazeneca,10912.2,Medio
Escherichia Coli,Capsula,Escherichia Coli 6 mg,mg,Uro-Vaxom,Om,7822.915359,Medio
Escherichia Coli,Capsula,Escherichia Coli 6 mg,mg,Uro-Vaxom,Om,3845.584391,Medio
Simeticona,Capsula,Simeticona 250 mg,mg,Digesta,Procaps,883.7351345,Medio
Simeticona,Capsula,Simeticona 250 mg,mg,Digesta,Procaps,326.5019577,Medio
Piperazina,Frasco,Piperazina 20 g,ml,Epulsarina,Cosmetipharma,11684.21053,Medio
Levodopa Y Carbidopa,Tableta,Levodopa 250 mg + Carbidopa 25 mg,mg,Carbidopa,Winthrop,1590.113355,Alto
Levodopa Y Carbidopa,Tableta,Levodopa 250 mg + Carbidopa 25 mg,mg,Carbidopa,Winthrop,216.9904138,Bajo
Clozapina,Tableta,Clozapina 25 mg,mg,Leponex,Mylan,1750.0,Alto
Clozapina,Tableta,Clozapina 25 mg,mg,Leponex,Mylan,1750.0,Alto
